Time Detect LP,Time Detect Face,Total
0.28,2.481,2.761
0.185,2.51,2.695
0.192,2.444,2.636
0.091,2.467,2.557
0.1,2.455,2.556
0.099,2.463,2.563
0.097,2.414,2.512
0.093,2.52,2.613
0.095,2.777,2.873
0.284,2.68,2.964
0.096,2.43,2.526
0.09,2.639,2.729
0.094,2.476,2.57
0.186,2.647,2.832
0.195,2.665,2.861
0.188,2.549,2.736
0.191,2.567,2.758
0.093,2.563,2.656
0.096,2.507,2.603
0.187,2.552,2.739
0.189,2.518,2.708
0.286,2.57,2.856
0.095,2.586,2.681
0.226,2.829,3.055
0.094,2.6,2.694
0.094,2.635,2.73
0.095,2.623,2.718
0.093,2.551,2.643
0.094,2.753,2.847
0.105,2.574,2.679
0.189,2.7,2.889
0.106,2.648,2.754
0.095,2.588,2.683
0.189,2.55,2.739
0.102,2.624,2.726
0.194,2.635,2.829
0.199,2.53,2.729
0.092,2.656,2.748
0.303,2.58,2.883
0.103,2.833,2.936
0.096,2.876,2.971
0.4,2.542,2.942
0.191,2.575,2.766
0.19,2.611,2.801
0.198,2.622,2.82
0.112,2.573,2.686
0.202,2.505,2.707
0.874,2.601,3.475
0.097,2.608,2.705
0.094,2.535,2.63
0.095,2.573,2.667
1.009,2.512,3.521
0.682,2.549,3.231
0.287,2.513,2.8
0.672,2.53,3.202
0.494,2.668,3.162
0.199,2.66,2.859
0.244,2.904,3.148
1.486,2.478,3.964
1.17,2.686,3.856
0.708,2.459,3.167
0.297,2.51,2.807
0.492,2.606,3.098
0.093,2.528,2.621
0.605,2.498,3.103
0.195,2.457,2.652
2.944,2.516,5.46
0.962,2.542,3.503
0.575,2.495,3.07
0.391,2.576,2.968
0.099,2.491,2.59
0.663,2.512,3.175
0.667,2.671,3.338
0.099,2.575,2.674
0.39,2.479,2.869
1.568,2.559,4.127
0.672,2.62,3.293
1.274,2.545,3.819
0.292,2.73,3.021
0.21,2.472,2.682
3.064,2.807,5.871
0.229,2.625,2.854
0.481,2.559,3.04
0.286,2.499,2.785
1.063,2.565,3.628
0.574,2.439,3.013
2,2.499,4.498
0.579,2.494,3.073
1.469,2.563,4.033
0.092,2.486,2.579
0.67,2.498,3.168
1.63,2.481,4.111
0.574,2.483,3.057
0.961,2.53,3.49
2.168,2.505,4.672
0.778,2.479,3.257
0.284,2.52,2.803
1.997,2.474,4.471
0.094,2.502,2.595
1.149,2.516,3.665
1.918,2.543,4.46
0.667,2.565,3.232
1.28,2.596,3.876
1.057,2.646,3.702
2.253,2.67,4.923
2.343,2.66,5.003
4.327,2.969,7.296
0.81,2.725,3.535
0.287,2.554,2.841
0.591,2.576,3.167
0.29,2.49,2.78
1.791,2.804,4.595
1.447,3.188,4.635
0.193,2.602,2.795
0.092,3.022,3.114
0.802,3.155,3.957
1.464,3.097,4.561
1.024,2.848,3.872
0.094,2.745,2.838
2.911,2.884,5.795
0.388,2.503,2.891
0.385,2.51,2.894
2.695,2.782,5.477
1.41,2.488,3.898
0.291,2.531,2.822
0.101,2.621,2.722
2.002,2.609,4.612
1.195,2.585,3.78
0.886,2.784,3.67
0.396,2.626,3.023
0.096,3.126,3.221
1.458,3.344,4.802
0.981,2.758,3.738
0.2,2.699,2.899
1.617,2.808,4.425
0.148,2.847,2.995
0.678,2.844,3.522
0.073,2.834,2.907
0.074,2.813,2.887
0.318,2.793,3.111
0.306,2.8,3.106
0.074,2.84,2.914
0.074,2.861,2.935
0.153,2.871,3.024
0.075,2.818,2.893
0.073,2.825,2.898
0.077,2.798,2.874
0.074,2.776,2.85
0.074,2.782,2.856
0.073,2.794,2.868
0.075,2.783,2.858
0.08,2.854,2.934
0.08,2.779,2.859
0.073,2.848,2.921
0.074,2.815,2.889
0.074,2.83,2.904
0.073,2.804,2.877
0.074,2.822,2.896
0.079,2.949,3.028
0.075,2.815,2.89
0.08,2.837,2.917
0.075,2.823,2.899
0.157,3.082,3.239
0.078,2.874,2.952
0.075,3.331,3.406
0.074,3.047,3.121
0.081,2.856,2.937
0.078,3.054,3.132
0.079,2.98,3.059
0.077,2.862,2.939
0.076,2.799,2.875
0.073,2.833,2.906
0.078,2.852,2.93
0.075,2.853,2.928
0.074,2.841,2.915
0.073,2.88,2.953
0.084,2.842,2.925
0.081,2.862,2.943
0.075,2.832,2.906
0.076,2.87,2.947
0.073,2.86,2.933
0.076,2.887,2.963
0.075,2.868,2.943
0.075,2.853,2.928
0.075,2.889,2.965
0.076,2.851,2.927
0.08,2.871,2.951
0.079,2.858,2.938
0.075,2.869,2.944
0.076,2.846,2.922
0.076,2.861,2.937
0.076,3.099,3.175
0.075,2.909,2.984
0.08,2.837,2.917
0.076,2.903,2.979
0.076,2.961,3.036
0.076,2.906,2.982
0.074,2.851,2.925
0.075,2.858,2.933
0.077,3.01,3.087
0.076,2.846,2.922
0.073,3.111,3.183
0.076,3.003,3.079
0.081,3.047,3.128
0.074,2.943,3.017
0.074,2.861,2.935
0.077,2.946,3.023
0.077,3.005,3.082
0.077,2.949,3.026
0.078,2.844,2.922
0.078,2.885,2.963
0.078,2.869,2.948
0.078,2.891,2.969
0.077,2.905,2.982
0.078,3.051,3.129
0.075,3.072,3.148
0.077,3.078,3.155
0.082,2.993,3.075
0.08,3.094,3.174
0.076,3.02,3.096
0.081,2.962,3.043
0.082,2.854,2.937
0.076,2.952,3.028
0.082,3.372,3.454
0.077,3.755,3.832
0.083,3.866,3.949
0.177,3.58,3.758
0.094,3.173,3.266
0.076,2.967,3.043
0.075,3.526,3.601
0.079,3.26,3.339
0.075,3.17,3.245
0.076,2.809,2.886
0.081,3.381,3.462
0.088,3.566,3.654
0.074,3.198,3.272
0.179,3.014,3.192
0.081,3.13,3.211
0.079,2.92,2.999
0.077,2.927,3.004
0.076,2.846,2.921
0.076,2.859,2.935
0.082,2.857,2.939
0.077,2.826,2.902
0.078,2.84,2.918
0.075,2.884,2.958
0.075,2.825,2.901
0.075,2.864,2.939
0.076,2.834,2.91
0.076,2.838,2.914
0.076,0.486,0.562
0.078,0.485,0.563
0.169,0.488,0.658
0.075,0.496,0.571
0.076,2.515,2.591
0.075,2.512,2.587
0.081,2.498,2.579
0.076,2.447,2.523
0.078,2.486,2.564
0.075,2.603,2.678
0.082,2.607,2.689
0.081,2.533,2.614
0.075,2.523,2.598
0.076,2.642,2.718
0.087,2.541,2.628
0.078,2.627,2.705
0.079,2.676,2.755
0.079,2.724,2.802
0.083,2.787,2.87
0.08,2.592,2.672
0.075,2.49,2.565
0.082,2.729,2.811
0.085,2.454,2.539
0.076,2.447,2.523
0.076,2.44,2.516
0.075,2.486,2.561
0.075,2.532,2.607
0.083,2.488,2.571
0.077,2.54,2.617
0.082,2.525,2.608
0.083,2.517,2.599
0.076,2.466,2.542
0.078,2.474,2.552
0.077,2.501,2.578
0.076,2.498,2.574
0.081,2.487,2.569
0.081,2.49,2.571
0.074,2.517,2.591
0.075,2.454,2.529
0.081,2.491,2.572
0.077,2.48,2.557
0.081,2.449,2.529
0.08,2.529,2.609
0.079,2.448,2.527
0.076,2.501,2.578
0.075,2.461,2.536
0.083,2.496,2.579
0.074,2.502,2.577
0.081,2.499,2.58
0.076,2.529,2.605
0.078,2.529,2.607
0.075,2.455,2.531
0.076,2.488,2.564
0.076,2.53,2.606
0.081,2.527,2.609
0.082,2.511,2.593
0.077,2.524,2.601
0.081,2.538,2.619
0.081,2.507,2.587
0.08,2.53,2.61
0.075,2.563,2.638
0.161,2.452,2.613
0.077,2.511,2.588
0.077,2.486,2.563
0.075,2.453,2.529
0.078,2.504,2.582
0.078,2.52,2.598
0.077,2.539,2.616
0.078,2.482,2.56
0.083,2.477,2.56
0.078,2.47,2.547
0.083,2.55,2.632
0.078,2.482,2.56
0.078,2.497,2.574
0.083,2.548,2.631
0.084,2.596,2.679
0.079,2.487,2.566
0.076,2.467,2.543
0.083,2.501,2.584
0.082,2.521,2.604
0.077,2.473,2.549
0.076,2.451,2.527
0.075,2.477,2.552
0.076,2.5,2.577
0.076,2.487,2.563
0.106,2.636,2.742
0.211,2.593,2.804
0.102,2.56,2.662
0.102,2.475,2.577
0.117,2.67,2.787
3.345,2.542,5.888
0.312,2.478,2.79
0.104,2.503,2.607
1.682,2.568,4.25
1.454,2.583,4.037
1.69,2.55,4.24
0.112,2.529,2.64
0.212,2.504,2.716
0.104,2.495,2.599
0.209,2.624,2.833
0.959,2.629,3.587
0.331,2.504,2.835
0.321,2.485,2.806
0.756,2.62,3.377
0.54,2.616,3.156
0.975,2.587,3.563
4.966,2.563,7.529
0.108,2.556,2.664
0.106,2.56,2.666
0.316,2.5,2.815
0.11,2.469,2.579
0.214,2.471,2.684
0.213,2.519,2.733
0.114,2.568,2.682
0.108,2.537,2.645
0.106,2.545,2.652
0.112,2.517,2.629
0.109,2.473,2.582
0.107,2.482,2.588
0.216,2.516,2.732
0.668,2.497,3.165
0.116,2.512,2.628
0.216,2.55,2.766
0.213,2.481,2.694
0.323,2.517,2.839
0.321,2.515,2.836
0.217,2.512,2.729
0.109,2.482,2.591
0.106,2.482,2.587
0.47,2.481,2.951
0.107,2.474,2.581
0.112,2.474,2.587
0.216,2.496,2.712
0.215,2.532,2.746
0.11,2.49,2.6
0.223,2.501,2.724
0.107,2.501,2.608
0.107,2.493,2.6
0.115,2.511,2.627
0.111,2.484,2.595
0.218,2.47,2.688
0.112,2.514,2.625
0.107,2.454,2.562
0.227,2.473,2.7
0.107,2.503,2.609
0.115,2.529,2.643
0.217,2.485,2.702
0.107,2.477,2.584
0.223,2.475,2.698
0.107,2.492,2.6
0.109,2.53,2.639
0.107,2.471,2.578
0.108,2.449,2.557
0.107,2.51,2.617
0.116,2.526,2.642
0.108,2.424,2.532
0.115,2.529,2.644
0.111,2.511,2.622
0.11,2.496,2.606
0.109,2.475,2.585
0.11,2.484,2.594
0.116,2.524,2.64
0.107,2.5,2.607
0.231,2.468,2.698
0.11,2.531,2.642
0.107,2.504,2.611
0.109,2.48,2.589
0.108,2.478,2.586
0.22,2.475,2.695
0.116,2.519,2.635
0.116,2.536,2.652
0.118,2.534,2.651
0.106,2.469,2.576
0.107,2.48,2.588
0.109,2.459,2.568
0.111,2.502,2.612
0.109,2.516,2.624
0.22,2.512,2.732
0.108,2.533,2.641
0.113,2.524,2.637
0.232,2.506,2.738
0.108,2.482,2.591
0.117,2.516,2.633
0.234,2.51,2.744
0.107,2.476,2.583
0.116,2.488,2.605
0.111,2.528,2.639
0.116,2.502,2.618
0.115,2.584,2.699
0.109,2.534,2.642
0.11,2.472,2.582
0.11,2.466,2.576
0.108,2.491,2.599
0.112,2.496,2.608
0.115,2.471,2.586
0.11,2.479,2.59
0.225,2.528,2.752
0.111,2.512,2.623
0.116,2.54,2.656
0.11,2.524,2.635
0.11,2.517,2.627
0.115,2.506,2.621
0.218,2.493,2.711
0.118,2.521,2.639
0.112,2.498,2.609
0.116,2.458,2.574
0.11,2.489,2.599
0.219,2.498,2.716
0.109,2.462,2.571
0.234,2.517,2.751
0.115,2.463,2.579
0.112,2.491,2.604
0.109,2.501,2.61
0.11,2.485,2.596
0.117,2.46,2.576
0.116,2.511,2.627
0.11,2.471,2.581
0.111,2.478,2.589
0.118,2.492,2.61
0.111,2.479,2.59
0.12,2.463,2.584
0.118,2.489,2.608
0.119,2.495,2.614
0.111,2.538,2.649
0.109,2.463,2.572
0.117,2.479,2.596
0.118,2.469,2.588
0.112,2.499,2.611
0.111,2.483,2.594
0.113,2.505,2.618
0.229,2.482,2.711
0.111,2.528,2.64
0.111,2.505,2.616
0.119,2.508,2.626
0.119,2.495,2.614
0.119,2.504,2.623
0.11,2.485,2.596
0.119,2.506,2.625
0.112,2.477,2.589
0.109,2.507,2.617
0.111,2.435,2.546
0.118,2.452,2.57
0.116,2.496,2.612
0.111,2.492,2.604
